11/12/2018 13:38:15 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:38:15 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 13:38:15 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 13:38:59 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 13:38:59 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:38:59 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:38:59 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:38:59 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 13:38:59 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
11/12/2018 13:40:54 | SUCCESS | Category video Entry Priority Insert(142-3) | By-varun_ott025 | 
11/12/2018 13:40:55 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:40:55 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:40:55 | SUCCESS | Category video Entry Priority Insert(142-0) | By-varun_ott025 | 
11/12/2018 13:40:55 | SUCCESS | Category video Entry Priority Insert(142-2) | By-varun_ott025 | 
11/12/2018 13:40:55 | SUCCESS | Category video Entry Priority Insert(142-1) | By-varun_ott025 | 
